idx,stationuuid,name,state,tags,language,codec,bitrate,votes,url,status,http_code,content_type,reason,last_change,homepage
0,b70f05cf-c652-4eee-96db-88c4b1a1643f,深圳交通广播 FM106.2,Guangdong,"china,guangdong,shenzhen,traffic",chinese,MP3,0,0,https://lhttp.qtfm.cn/live/1286/64k.mp3,reachable,200,audio/mpeg,audio/mpeg,2026-07-29T14:28:06Z,https://m.qtfm.cn/channels/1286
1,57d3be83-56da-4f8b-9ef0-9c3f7095dac3,浙江旅游之声,Zhejiang,music,chinese,UNKNOWN,0,0,http://ali-m-l.cztv.com/channels/lantian/fm1045/128k.m3u8,reachable,200,application/x-mpegURL,application/x-mpegURL,2026-08-08T03:01:34Z,http://www.cztv.com/
2,4082f4a0-e300-46dd-a065-da0bd6f53c1e,浙江民生资讯广播,Zhejiang,entertainment,chinese,UNKNOWN,0,0,http://ali-m-l.cztv.com/channels/lantian/fm996/128k.m3u8,reachable,200,application/x-mpegURL,application/x-mpegURL,2026-08-08T03:01:34Z,http://www.cztv.com/
3,06b6edff-724f-4fc8-bb3d-d297614cdad2,浙江经济广播,Zhejiang,economics,chinese,UNKNOWN,0,0,http://ali-m-l.cztv.com/channels/lantian/fm95/128k.m3u8,reachable,200,application/x-mpegURL,application/x-mpegURL,2026-08-08T03:01:34Z,http://www.cztv.com/
4,868db553-6423-4950-8006-4d7e23d01b80,深圳私家车广播 FM94.2,Guangdong,"china,guangdong,music,shenzhen,traffic",chinese,MP3,0,0,https://lhttp.qtfm.cn/live/1273/64k.mp3,reachable,200,audio/mpeg,audio/mpeg,2026-07-29T14:51:59Z,https://m.qtfm.cn/channels/1273
5,9aefb69f-1f44-4ccd-b50d-1faddb28f70c,浦江人民广播电台,Zhejiang,full service,chinese,MP3,0,0,https://lhttp-hw.qtfm.cn/live/5021924/64k.mp3,reachable,200,audio/mpeg,audio/mpeg,2026-08-08T03:01:34Z,http://gw.pjnews.cn/
6,db737531-56a4-4b47-8dcd-7a9de72a366e,海宁大潮之声🌊,Zhejiang,"music,news",chinese,MP3,0,0,https://lhttp.qtfm.cn/live/5022556/64k.mp3,reachable,200,audio/mpeg,audio/mpeg,2026-08-08T03:01:34Z,https://www.qingting.fm/radios/5022556/
7,7ddf5466-18b1-43db-973c-70c77e13a4e5,温岭1036·温岭人民广播电台,Zhejiang,news,chinese,MP3,0,0,http://lhttp.qingting.fm/live/4567/64k.mp3,reachable,200,audio/mpeg,audio/mpeg,2026-08-08T03:01:34Z,http://wlnews.zjol.com.cn/
8,2d50a560-cd2d-415a-a2c6-15d58ed0e7b3,温州之声,Zhejiang,news,chinese,MP3,0,0,http://lhttp.qingting.fm/live/1155/64k.mp3,reachable,200,audio/mpeg,audio/mpeg,2026-08-08T03:01:34Z,http://www.wztv.cn/
9,0ef179b4-de95-4a30-be2e-32af34920410,温州对农广播,Zhejiang,music,chinese,MP3,0,0,http://lhttp.qingting.fm/live/1158/64k.mp3,reachable,200,audio/mpeg,audio/mpeg,2026-08-08T03:01:34Z,http://www.wztv.cn/
10,1e40e0e6-43e9-4f34-9c44-b00d81b1d6fa,温州私家车音乐广播,Zhejiang,music,chinese,MP3,0,0,http://lhttp.qingting.fm/live/1149/64k.mp3,reachable,200,audio/mpeg,audio/mpeg,2026-08-08T03:01:58Z,http://www.wztv.cn/
11,f2808caa-6342-411f-9550-ce5241212269,温州经济生活广播,Zhejiang,lifestyle,chinese,MP3,0,0,http://lhttp.qingting.fm/live/1157/64k.mp3,reachable,200,audio/mpeg,audio/mpeg,2026-08-08T03:01:58Z,http://www.wztv.cn/
12,6061f1d7-6012-46ed-b663-6dae87f5b476,温州综合广播,Zhejiang,news,chinese,MP3,0,0,https://lhttp.qtfm.cn/live/1155/64k.mp3,reachable,200,audio/mpeg,audio/mpeg,2026-08-08T03:01:58Z,http://www.wztv.cn/
13,4e7b7913-6775-40b0-9050-6d7b9843868d,温州音乐之声,Zhejiang,music,chinese,MP3,0,0,https://lhttp.qtfm.cn/live/1149/64k.mp3,reachable,200,audio/mpeg,audio/mpeg,2026-08-08T03:01:58Z,http://www.wztv.cn/
14,4110fc61-76dc-4159-9d3c-643f7d7222ab,湖州经济广播,Zhejiang,"entertainment,traffic radio broadcast",chinese,MP3,0,0,https://lhttp.qtfm.cn/live/2812/64k.mp3,reachable,200,audio/mpeg,audio/mpeg,2026-08-08T03:01:58Z,http://www.hugd.com/
15,5c2d0b22-332c-4d48-84be-5b2cc9589cc8,鄂尔多斯蒙语综合广播,Inner Mongolia,full service,mongolian,UNKNOWN,0,0,https://live.nxw.org.cn/lsdream/uE7XojO/1000/live.m3u8,reachable,200,application/vnd.apple.mpegurl,application/vnd.apple.mpegurl,2026-06-25T13:20:40Z,http://www.nxw.org.cn/
16,ab0cefac-a3aa-4133-8451-0ec7d25f2f17,玉环综合广播,Zhejiang,full service,chinese,MP3,0,0,https://lhttp-hw.qtfm.cn/live/20212390/64k.mp3,reachable,200,audio/mpeg,audio/mpeg,2026-08-08T03:01:58Z,http://yhnews.zjol.com.cn/
17,c47cb56d-bfb8-4850-bd11-79487d8a47a5,瑞安人民广播电台,Zhejiang,news,chinese,MP3,0,0,http://lhttp.qingting.fm/live/1143/64k.mp3,reachable,200,audio/mpeg,audio/mpeg,2026-08-08T03:01:58Z,http://www.66ruian.com/
18,f3e65a73-19d7-4df9-86e2-6f8f137b4134,绍兴交通广播,Zhejiang,"94.1,94.1 fm,entertainment,traffic radio broadcast",chinese,UNKNOWN,0,0,http://live.shaoxing.com.cn/audio/s10001-jt2/index.m3u8,reachable,200,application/vnd.apple.mpegurl,application/vnd.apple.mpegurl,2026-08-08T03:01:58Z,http://www.shaoxing.com.cn/
19,985d5699-73d5-4979-9e9a-f9d55dd66578,绍兴交通广播,Zhejiang,traffic radio broadcast,chinese,MP3,0,0,http://lhttp.qingting.fm/live/5053/64k.mp3,reachable,200,audio/mpeg,audio/mpeg,2026-08-08T03:01:58Z,http://www.shaoxing.com.cn/
20,cd23cf29-8e1b-41c4-881d-6281bad0518c,绍兴戏曲广播,Zhejiang,music,chinese,MP3,0,0,http://lhttp.qingting.fm/live/5054/64k.mp3,reachable,200,audio/mpeg,audio/mpeg,2026-08-08T03:01:58Z,http://www.shaoxing.com.cn/
21,f60ee327-a201-49bb-a14e-27c39add5853,绍兴综合广播,Zhejiang,full service,chinese,MP3,0,0,http://lhttp.qingting.fm/live/5052/64k.mp3,reachable,200,audio/mpeg,audio/mpeg,2026-08-08T03:01:58Z,http://www.shaoxing.com.cn/
22,14790d75-51cb-420b-aa2a-b51787babbd6,绍兴综合广播,Zhejiang,"93.6,93.6 fm,information,news,public radio",chinese,UNKNOWN,0,0,http://live.shaoxing.com.cn/audio/s10001-xw1/index.m3u8,reachable,200,application/vnd.apple.mpegurl,application/vnd.apple.mpegurl,2026-08-08T03:01:58Z,http://www.shaoxing.com.cn/
23,4a14405c-fd6d-4e01-b171-fc3800df069b,缙云广播,Zhejiang,news,chinese,UNKNOWN,0,0,http://l.cztvcloud.com/channels/lantian/SXjinyunaud/128k.m3u8,reachable,200,application/x-mpegURL,application/x-mpegURL,2026-08-08T03:01:58Z,http://jynews.zjol.com.cn/sjindex.html
24,91993d6b-e83e-4a22-8bed-4e1eaf9532ae,苍南广播,Zhejiang,news,chinese,UNKNOWN,0,0,http://l.cztvcloud.com/channels/lantian/SXcangnanaud/128k.m3u8,reachable,200,application/x-mpegURL,application/x-mpegURL,2026-08-08T03:02:16Z,https://www.cnxw.com.cn/
25,0edbd91f-dc6a-4ca4-9db8-6d07cff36993,德兴新闻综合广播 FM98.0,Kiangsi,full service,chinese,UNKNOWN,0,0,http://218.64.164.152:5021/live_hls/1/playlist.m3u8,reachable,200,application/x-mpegURL,application/x-mpegURL,2026-07-11T14:00:48Z,https://sj.qq.com/appdetail/com.jxmfkj.www.company.wdnx
26,cc9362e6-1f15-4788-af82-1c569087f12e,萧山综合广播,Zhejiang,"107.9,107.9 fm,public radio",chinese,UNKNOWN,0,0,https://l.cztvcloud.com/channels/lantian/SXxiaoshanaud1/128k.m3u8,reachable,200,application/x-mpegURL,application/x-mpegURL,2026-08-08T03:02:16Z,http://www.xianghunet.com/
27,4c12d2d2-5f55-4b5d-9158-a5e23542cdb9,衢州交通广播,Zhejiang,traffic,chinese,MP3,0,0,http://lhttp.qingting.fm/live/20442/64k.mp3,reachable,200,audio/mpeg,audio/mpeg,2026-08-08T03:02:16Z,http://www.qz123.com/
28,1e744090-470a-4309-bab8-3d639e3367f4,衢州新闻广播,Zhejiang,news,chinese,MP3,0,0,http://lhttp.qingting.fm/live/20444/64k.mp3,reachable,200,audio/mpeg,audio/mpeg,2026-08-08T03:02:16Z,http://www.qz123.com/
29,2a550fd7-bb9f-48b0-b1e7-ab7561276653,衢江广播,Zhejiang,news,chinese,UNKNOWN,0,0,http://l.cztvcloud.com/channels/lantian/SXqujiangaud/128k.m3u8,reachable,200,application/x-mpegURL,application/x-mpegURL,2026-08-08T03:02:16Z,http://qjnews.cztv.com/
30,aa2c0c0f-554b-42d3-9667-1a7bdcb75afe,诸暨人民广播电台,Zhejiang,news,chinese,MP3,0,0,http://lhttp.qingting.fm/live/5022482/64k.mp3,reachable,200,audio/mpeg,audio/mpeg,2026-08-08T03:02:16Z,http://www.zjbtv.com/
31,3f0bcf49-ccf7-42d1-b38a-e5a8608786a1,诸暨综合广播,Zhejiang,"china,zhejiang",chinese,UNKNOWN,0,0,http://l.cztvcloud.com/channels/lantian/SXzhujiaud/128k.m3u8,reachable,200,application/x-mpegURL,application/x-mpegURL,2026-08-08T03:02:16Z,https://www.zjrb.cn/
32,453ddea1-e229-40ad-a9c5-b637f7ec443a,象山综合广播,Zhejiang,"music,news",chinese,UNKNOWN,0,0,http://l.cztvcloud.com/channels/lantian/SXxiangshanaud/128k.m3u8,reachable,200,application/x-mpegURL,application/x-mpegURL,2026-08-08T03:02:16Z,http://www.cnxsg.cn/
