电台名称,状态,HTTP状态码,原因,内容类型,URL
RTHK Radio 1,not_found,404,HTTP 404,,https://rthkaudio6cnr-lh.akamaihd.net/i/radio6cnr_1@575604/master.m3u8
RTHK Radio 2,reachable,200,m3u8 列表,application/x-mpegURL,https://rthkaudio2-lh.akamaihd.net/i/radio2_1@355865/master.m3u8
RTHK Radio 3,reachable,200,m3u8 列表,application/x-mpegURL,https://rthkaudio3-lh.akamaihd.net/i/radio3_1@355866/master.m3u8
RTHK Radio 5,reachable,200,m3u8 列表,application/x-mpegURL,https://rthkaudio5-lh.akamaihd.net/i/radio5_1@355868/master.m3u8
RTHK Radio 6,reachable,200,m3u8 列表,application/x-mpegURL,https://rthkaudio6-lh.akamaihd.net/i/radiopth_1@355869/master.m3u8
CGTN Radio,reachable,200,m3u8 列表,application/vnd.apple.mpegurl,http://sk.cri.cn/am846.m3u8
CRI环球资讯广播,reachable,200,m3u8 列表,application/x-mpegurl,http://satellitepull.cnr.cn/live/wxhqzx01/playlist.m3u8
CRI华语环球广播,reachable,200,m3u8 列表,application/vnd.apple.mpegurl,http://sk.cri.cn/hyhq.m3u8
CRI南海之声,reachable,200,m3u8 列表,application/vnd.apple.mpegurl,http://sk.cri.cn/nhzs.m3u8
CRI世界华声,reachable,200,m3u8 列表,application/vnd.apple.mpegurl,http://sk.cri.cn/hxfh.m3u8
CRI轻松调频,not_found,404,HTTP 404,,http://sk.cri.cn/915.m3u8
CNR中国之声,forbidden,403,HTTP 403,,https://live-play.cctvnews.cctv.com/cctv/zgzs192.m3u8
CNR经济之声,reachable,200,m3u8 列表,application/vnd.apple.mpegurl,http://ngcdn002.cnr.cn/live/jjzs/index.m3u8
CNR文艺之声,reachable,200,m3u8 列表,application/x-mpegurl,http://audiows010.cnr.cn/live/wyzs192/playlist.m3u8
CNR阅读之声,unreachable,,连接失败: [Errno 11001] getaddrinfo failed,,http://ngcdn014.cnr.cn/live/ylgb/index.m3u8
CNR台海之声,forbidden,403,HTTP 403,,http://ngcdn005.cnr.cn/live/zhzs/index.m3u8
CNR乡村之声,forbidden,403,HTTP 403,,http://ngcdn017.cnr.cn/live/xczs/index.m3u8
CNR老年之声,forbidden,403,HTTP 403,,http://ngcdn011.cnr.cn/live/lnzs/index.m3u8
CNR民族之声,forbidden,403,HTTP 403,,http://ngcdn009.cnr.cn/live/mzzs/index.m3u8
CNR香港之声,forbidden,403,HTTP 403,,http://ngcdn008.cnr.cn/live/xgzs/index.m3u8
CNR大湾区之声,forbidden,403,HTTP 403,,http://ngcdn007.cnr.cn/live/hxzs/index.m3u8
CNR神州之声,forbidden,403,HTTP 403,,http://ngcdn006.cnr.cn/live/szzs/index.m3u8
CNR中国交通广播,forbidden,403,HTTP 403,,http://ngcdn016.cnr.cn/live/gsgljtgb/index.m3u8
CNR维吾尔语广播,forbidden,403,HTTP 403,,http://ngcdn013.cnr.cn/live/wygb/index.m3u8
CNR藏语广播,forbidden,403,HTTP 403,,http://ngcdn012.cnr.cn/live/zygb/index.m3u8
CNR哈萨克语广播,forbidden,403,HTTP 403,,http://ngcdn025.cnr.cn/live/hygb/index.m3u8
长三角之声,reachable,200,m3u8 列表,application/x-mpegurl,http://satellitepull.cnr.cn/live/wx32dfgbdt/playlist.m3u8
第一财经广播,reachable,200,m3u8 列表,application/x-mpegurl,http://satellitepull.cnr.cn/live/wx32dycjgb/playlist.m3u8
CCTV1 综合,unreachable,,连接失败: [Errno 11001] getaddrinfo failed,,https://cctv5cncc.v.wscdns.com/live/cctv1_1/index.m3u8?adapt=0&BR=audio
CCTV2 财经,unreachable,,连接失败: [Errno 11001] getaddrinfo failed,,https://cctv5cncc.v.wscdns.com/live/cctv2_1/index.m3u8?adapt=0&BR=audio
CCTV3 综艺,unreachable,,连接失败: [Errno 11001] getaddrinfo failed,,http://cctv.v.myalicdn.com/live/cctv3_1audio.m3u8
CCTV4 中文国际 亚洲,unreachable,,连接失败: [Errno 11001] getaddrinfo failed,,https://cctv5cncc.v.wscdns.com/live/cctv4_1/index.m3u8?adapt=0&BR=audio
CCTV4 中文国际 欧洲,unreachable,,连接失败: [Errno 11001] getaddrinfo failed,,https://cctv5cncc.v.wscdns.com/live/cctveurope_1/index.m3u8?adapt=0&BR=audio
CCTV4 中文国际 美洲,unreachable,,连接失败: [Errno 11001] getaddrinfo failed,,https://cctv5cncc.v.wscdns.com/live/cctvamerica_1/index.m3u8?adapt=0&BR=audio
CCTV5 体育,unreachable,,连接失败: [Errno 11001] getaddrinfo failed,,https://cctv5cncc.v.wscdns.com/live/cctv5_1/index.m3u8?adapt=0&BR=audio
CCTV5+ 体育赛事,unreachable,,连接失败: [Errno 11001] getaddrinfo failed,,https://cctv5cncc.v.wscdns.com/live/cctv5plus_1/index.m3u8?adapt=0&BR=audio
CCTV6 电影,unreachable,,连接失败: [Errno 11001] getaddrinfo failed,,http://cctv.v.myalicdn.com/live/cctv6_1audio.m3u8
CCTV7 国防军事,unreachable,,连接失败: [Errno 11001] getaddrinfo failed,,https://cctv5cncc.v.wscdns.com/live/cctv7_1/index.m3u8?adapt=0&BR=audio
CCTV8 电视剧,unreachable,,连接失败: [Errno 11001] getaddrinfo failed,,http://cctv.v.myalicdn.com/live/cctv8_1audio.m3u8
CCTV9 纪录,unreachable,,连接失败: [Errno 11001] getaddrinfo failed,,https://cctv5cncc.v.wscdns.com/live/cctvjilu_1/index.m3u8?adapt=0&BR=audio
CCTV10 科教,unreachable,,连接失败: [Errno 11001] getaddrinfo failed,,https://cctv5cncc.v.wscdns.com/live/cctv10_1/index.m3u8?adapt=0&BR=audio
CCTV11 戏曲,unreachable,,连接失败: [Errno 11001] getaddrinfo failed,,https://cctv5cncc.v.wscdns.com/live/cctv11_1/index.m3u8?adapt=0&BR=audio
CCTV12 社会与法,unreachable,,连接失败: [Errno 11001] getaddrinfo failed,,https://cctv5cncc.v.wscdns.com/live/cctv12_1/index.m3u8?adapt=0&BR=audio
CCTV13 新闻,unreachable,,连接失败: [Errno 11001] getaddrinfo failed,,https://cctv5cncc.v.wscdns.com/live/cctv13_1/index.m3u8?adapt=0&BR=audio
CCTV14 少儿,unreachable,,连接失败: [Errno 11001] getaddrinfo failed,,https://cctv5cncc.v.wscdns.com/live/cctvchild_1/index.m3u8?adapt=0&BR=audio
CCTV15 音乐,unreachable,,连接失败: [Errno 11001] getaddrinfo failed,,https://cctv5cncc.v.wscdns.com/live/cctv15_1/index.m3u8?adapt=0&BR=audio
CCTV16 奥林匹克,unreachable,,连接失败: [Errno 11001] getaddrinfo failed,,https://cctv5cncc.v.wscdns.com/live/cctv16_1/index.m3u8?adapt=0&BR=audio
